,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
374,18.53,2988.44,1474.39,2.23,0.06,0.31
375,18.54,2937.02,1459.11,2.24,0.15,0.28
376,18.54,2923.12,1465.52,2.26,0.13,0.26
377,17.53,2847.77,1434.7,2.18,0.54,0.32
378,17.54,2745.77,1356.08,2.14,0.35,0.34
379,17.55,2837.54,1360.39,2.1,0.22,0.34
380,17.57,2864.48,1380.72,2.15,0.32,0.32
381,17.59,2973.37,1435.18,2.16,0.43,0.32
382,17.6,2862.67,1415.89,2.13,0.35,0.34
383,17.62,2983.88,1480.09,2.17,0.41,0.31
384,17.63,3028.87,1527.38,2.18,0.42,0.31
385,17.65,2981.94,1461.46,2.14,0.11,0.33
386,17.67,2978.97,1469.47,2.16,0.1,0.31
387,17.68,2918.84,1441.9,2.13,0.07,0.32
388,17.7,2953.16,1468.29,2.14,0.0,0.33
389,17.72,3031.2,1506.98,2.17,0.06,0.3
390,17.73,3302.0,1676.01,2.22,0.1,0.29
391,17.75,3134.33,1583.28,2.17,0.08,0.3
392,17.76,3065.69,1557.39,2.14,0.15,0.32
393,17.78,2906.72,1439.84,2.12,0.14,0.33
394,17.8,2896.33,1457.69,2.11,0.12,0.33
395,17.81,2934.57,1460.17,2.12,0.29,0.34
396,17.83,3086.15,1519.37,2.22,0.16,0.29
397,17.84,3260.78,1674.22,2.23,1.0,0.28
398,17.86,3240.83,1640.49,2.23,1.0,0.3
399,17.88,3094.17,1516.58,2.24,1.0,0.29
400,17.9,3092.8,1528.62,2.22,1.0,0.32
401,18.69,2786.14,1392.29,2.19,0.65,0.35
402,18.7,2932.29,1300.34,2.28,0.19,0.2
403,18.71,3229.76,1329.03,2.11,0.36,0.36
404,18.72,2956.61,1410.34,2.09,0.36,0.37
405,18.73,2755.41,1375.95,2.13,0.41,0.34
406,18.74,2890.14,1379.33,2.14,0.46,0.35
407,18.75,2839.65,1365.09,2.13,0.44,0.35
408,18.76,2862.64,1385.86,2.17,0.52,0.34
409,18.77,2864.88,1398.49,2.18,0.65,0.33
410,18.78,2943.12,1456.92,2.21,0.57,0.32
411,18.8,3393.42,1447.62,2.17,0.12,0.31
412,18.81,3301.39,1691.91,2.2,0.02,0.29
413,18.82,2981.73,1616.08,2.14,0.21,0.33
414,18.83,2867.07,1531.31,2.11,0.33,0.35
415,18.84,2921.84,1536.75,2.12,0.49,0.34
416,18.85,2913.73,1531.29,2.12,0.15,0.34
417,18.86,2913.04,1534.59,2.12,0.27,0.33
418,18.87,3301.97,1593.13,2.24,0.14,0.27
419,18.88,2834.37,1478.23,2.1,0.21,0.35
420,18.89,2997.95,1435.49,2.07,0.22,0.36
421,18.91,2916.48,1502.68,2.16,0.01,0.31
422,18.92,3252.19,1513.96,2.18,0.0,0.3
423,18.93,3036.13,1477.89,2.12,0.0,0.33
424,18.94,2979.94,1576.28,2.16,0.0,0.32
425,18.95,2890.64,1543.71,2.12,0.0,0.33
426,18.96,2854.77,1538.78,2.12,0.0,0.33
427,18.97,2845.15,1557.28,2.11,0.02,0.34
428,19.08,2611.21,1679.76,2.3,0.55,0.31
429,19.1,2609.18,1621.28,2.24,0.5,0.31
430,19.12,2642.08,1583.0,2.07,0.39,0.32
431,19.13,2925.09,1913.7,2.41,0.24,0.19
432,19.16,3264.66,1874.12,2.54,0.16,0.14
433,19.17,2805.69,1661.45,1.98,0.24,0.35
434,19.19,2875.47,1591.27,2.27,0.52,0.28
435,19.21,2938.47,1465.38,2.45,0.72,0.36
436,19.23,3104.45,1718.5,2.19,0.0,0.33
437,19.24,3110.2,1715.86,2.15,0.0,0.33
438,19.26,3059.12,1615.03,2.2,0.33,0.34
439,19.28,3160.04,1667.23,2.2,0.4,0.34
440,19.3,3104.45,1661.45,2.14,0.07,0.34
441,19.31,3084.45,1635.51,2.14,0.18,0.37
442,19.33,3110.2,1658.98,2.17,0.28,0.33
443,19.35,3053.55,1619.71,2.15,0.17,0.34
444,19.36,3064.72,1633.12,2.16,0.18,0.33
445,19.38,3255.14,1742.62,2.22,0.02,0.32
446,19.4,3264.66,1735.4,2.19,0.0,0.33
447,19.41,3196.19,1704.52,2.15,0.0,0.33
448,19.43,3175.0,1608.83,2.16,0.04,0.33
449,19.45,3104.45,1552.22,2.14,0.3,0.36
450,19.46,3092.99,1555.1,2.15,0.25,0.35
451,19.48,3025.99,1540.81,2.15,0.35,0.37
452,19.5,2930.77,1537.28,2.14,0.29,0.35
453,19.52,3009.7,1547.92,2.19,0.4,0.36
454,19.53,3017.82,1559.44,2.18,0.37,0.32
455,19.55,2998.93,1560.89,2.18,0.31,0.35
456,19.57,3023.26,1541.52,2.17,0.33,0.34
